id,next_id
5936,5937
9738,72197351
3277,74494749
148498572,2513
66226553,7643
68243232,5015
68809539,4820
66443720,7617
68342927,5100
64826772,2740
75381857,9617
11572108,9273
65357079,2974
12780,176368030
13020478,9319
12277,71707592
65414048,2842
11820,71490393
70421362,11982
5262,69425690
9354,55916812
152926300,14564
14101,11657520
70851820,1656
14186,41235944
9292,52077044
54102567,14088
8695,61585336
9599,72697078
136001379,12766
8318,160268753
68944632,4674
68447036,1980
1626,71710181
70998292,4327
62655098,358
66697010,1326
10403,71029705
292,190966310
66650618,2721
67664462,6288
68491446,6264
74523857,11568
2509,161967406
6875,67520231
5257,69140320
179090746,12772
37324205,9217
71727292,12227
12248,71308361
2472,176884384
65546864,7563
73386961,3422
66945170,2708
70469140,12387
61825048,7109
66634577,13161
13759,63999740
67614603,6245
10814,106172138
1821,70751784
176728265,13075
68222226,1873
9464,76110198
75461771,9813
11140,72346792
66274692,1330
81362338,7832
71288108,4232
2878,65686639
61815801,3584
8118,110995748
65866629,7577
3291,75712698
89585313,7744
138477396,2395
198147533,6517
78465291,7829
71986207,4318
76110941,5750
3204,73037341
9562,72557022
7701,112649306
68751524,4246
5395,121052793
14582,147006742
1938,69435448
75321996,9699
14003919,14096
72276820,11394
13307,65217686
3592,62074743
189024936,6647
76119840,11743
4688,68046910
10871,82783250
4382,71417765
4453,71866611
72158476,12003
9437,74015335
71518905,10430
2953,66853012
72517875,6169
71075878,14370
118434321,7980
7677,82262430
68132478,1933
5722,74166130
11058,93476760
73396936,3395
12041,70729110
148088212,2078
130227850,14637
64547658,7605
12060,70515273
5726,74604699
62682320,7181
63340753,12677
71854114,14281
123710794,10811
69140309,6342
9801,74205164
75431435,11676
5775,74105955
10352,71837691
5388,121172592
38490637,9416
130368021,14635
71159500,10409
78065953,5380
12390,71038845
3318,73826253
9561,75252039
139707155,2074
68252164,5337
2349,143161076
718,82754353
65803856,7328
12477,63041890
89534654,5386
9883,185909672
61417092,13544
89735861,10957
9633,73925590
937,67008303
70559898,10336
4828,69780484
65994657,1414
84813002,10887
62055259,13398
2093,158776616
11823,71180883
9249,24842823
4757,69499539
193098100,518
133680740,2223
7919,88675399
62239962,3678
6777,68935830
69963235,1827
293,194737079
12514,62563327
154406234,2434
2077,146658348
14275,70826295
2033,68810713
1860,67360844
111246827,11052
8675,61465485
12501,63310840
70548838,4278
13158,65085444
70456358,14325
4505,71458787
3837,62130271
71198693,12314
2931,65506895
11101,193677247
68970407,1992
5104,68590167
10202,183997218
61596390,3472
66706485,4151
76458848,11033
65189810,1045
109214427,7772
140440353,12898
77038387,10780
10979,106992542
3545,63739720
70881151,11804
71787200,12163
12942,143674466
82532124,5627
12160,70859107
64648330,1543
101925823,10980
71906966,12406
13412,62873291
74953176,3425
2448,162667054
5658,74016255
70855770,14276
69241272,5040
69275680,1962
71859575,1814
66033603,2954
4364,72026171
64236454,8735
3291,74994087
4919,67673328
138097942,8238
5746,75402492
4829,68081490
170222407,8496
7594,66696345
66423507,7358
12362,71687470
65997290,1308
4920,69768425
70490009,10557
66406886,13275
6389,184508305
6012,72557907
2680,65071685
1125,65605364
5925,74255910
7870,81442398
